Year, female, male, null
1960, 0, 18, 2
1961, 0, 20, 4
1962, 0, 21, 5
1963, 0, 18, 1
1964, 0, 18, 2
1965, 0, 16, 3
1966, 0, 17, 3
1967, 0, 23, 1
1968, 0, 20, 0
1969, 0, 13, 9
1970, 0, 21, 1
1971, 0, 18, 2
1972, 0, 18, 2
1973, 0, 19, 1
1974, 0, 18, 2
1975, 0, 20, 0
1976, 0, 20, 1
1977, 0, 21, 1
1978, 0, 20, 1
1979, 0, 19, 1
1980, 0, 22, 0
1981, 0, 19, 1
1982, 0, 20, 1
1983, 0, 22, 1
1984, 0, 19, 1
1985, 1, 18, 2
1986, 0, 20, 0
1987, 0, 19, 1
1988, 1, 19, 1
1989, 1, 20, 1
1990, 0, 20, 1
1991, 1, 19, 2
1992, 2, 19, 2
1993, 1, 19, 1
1994, 0, 22, 0
1995, 0, 21, 0
1996, 0, 20, 0
1997, 0, 21, 0
1998, 4, 20, 4
1999, 2, 22, 2
2000, 1, 21, 1
2001, 2, 18, 3
2002, 0, 20, 0
2003, 5, 15, 7
2004, 1, 23, 1
2005, 0, 23, 0
2006, 2, 20, 3
2007, 0, 21, 0
2008, 2, 22, 2
2009, 2, 19, 2
2010, 0, 23, 0
2011, 1, 20, 1
2012, 1, 23, 1
2013, 1, 22, 1
2014, 0, 23, 1
2015, 1, 20, 1
2016, 1, 22, 3
2017, 1, 22, 2
2018, 0, 21, 2
