Year, female, male, null
1960, 1, 11, 9
1961, 2, 12, 12
1962, 2, 16, 7
1963, 1, 14, 4
1964, 0, 15, 6
1965, 1, 13, 8
1966, 0, 13, 5
1967, 3, 13, 5
1968, 1, 18, 3
1969, 2, 10, 6
1970, 3, 15, 11
1971, 1, 22, 5
1972, 2, 14, 8
1973, 3, 26, 6
1974, 3, 18, 10
1975, 3, 13, 6
1976, 0, 20, 1
1977, 3, 20, 10
1978, 1, 19, 6
1979, 3, 20, 6
1980, 3, 15, 7
1981, 3, 22, 4
1982, 2, 26, 5
1983, 3, 22, 5
1984, 2, 21, 9
1985, 1, 27, 3
1986, 5, 18, 6
1987, 0, 26, 2
1988, 2, 25, 5
1989, 2, 27, 2
1990, 4, 30, 8
1991, 4, 23, 5
1992, 2, 31, 3
1993, 2, 26, 3
1994, 1, 23, 2
1995, 1, 26, 3
1996, 2, 22, 3
1997, 4, 27, 8
1998, 1, 24, 5
1999, 3, 23, 4
2000, 2, 28, 6
2001, 0, 28, 5
2002, 1, 25, 3
2003, 1, 22, 6
2004, 1, 26, 7
2005, 2, 21, 5
2006, 5, 23, 9
2007, 2, 23, 7
2008, 2, 17, 10
2009, 5, 18, 9
2010, 3, 20, 4
2011, 5, 18, 9
2012, 3, 17, 10
2013, 4, 21, 10
2014, 0, 24, 7
2015, 5, 14, 15
2016, 2, 14, 7
2017, 1, 26, 9
2018, 2, 15, 11
