Year, female, male, null
1960, 0, 17, 5
1961, 0, 16, 4
1962, 1, 26, 3
1963, 0, 25, 1
1964, 0, 18, 6
1965, 0, 19, 4
1966, 0, 13, 8
1967, 0, 20, 5
1968, 1, 18, 8
1969, 0, 20, 7
1970, 0, 17, 8
1971, 0, 25, 8
1972, 0, 25, 3
1973, 1, 25, 5
1974, 0, 22, 7
1975, 0, 22, 3
1976, 1, 22, 9
1977, 1, 23, 10
1978, 0, 26, 7
1979, 0, 32, 5
1980, 0, 20, 4
1981, 2, 22, 7
1982, 3, 28, 10
1983, 0, 23, 4
1984, 2, 24, 8
1985, 3, 32, 6
1986, 4, 30, 8
1987, 3, 28, 6
1988, 5, 30, 8
1989, 4, 37, 8
1990, 3, 36, 5
1991, 6, 34, 13
1992, 3, 35, 4
1993, 6, 32, 8
1994, 2, 33, 2
1995, 4, 36, 10
1996, 7, 42, 12
1997, 5, 33, 9
1998, 8, 44, 12
1999, 7, 33, 12
2000, 14, 42, 19
2001, 8, 34, 16
2002, 12, 34, 16
2003, 7, 39, 15
2004, 5, 41, 16
2005, 8, 38, 19
2006, 6, 33, 12
2007, 5, 41, 19
2008, 6, 34, 15
2009, 6, 44, 18
2010, 11, 29, 31
2011, 11, 29, 23
2012, 13, 23, 22
2013, 9, 30, 24
2014, 10, 39, 20
2015, 6, 39, 13
2016, 8, 23, 23
2017, 8, 30, 19
2018, 4, 39, 21
