Year, female, male, null
1960, 1, 24, 3
1961, 0, 22, 9
1962, 0, 23, 7
1963, 1, 24, 6
1964, 0, 29, 7
1965, 0, 31, 4
1966, 1, 28, 8
1967, 3, 18, 13
1968, 1, 27, 10
1969, 1, 15, 4
1970, 0, 25, 11
1971, 1, 22, 12
1972, 1, 22, 7
1973, 1, 27, 4
1974, 0, 24, 10
1975, 0, 23, 9
1976, 1, 25, 7
1977, 1, 25, 9
1978, 0, 34, 7
1979, 2, 25, 7
1980, 2, 23, 8
1981, 0, 25, 5
1982, 3, 27, 7
1983, 1, 31, 6
1984, 3, 21, 8
1985, 1, 28, 6
1986, 1, 28, 12
1987, 1, 25, 5
1988, 1, 30, 6
1989, 1, 22, 4
1990, 0, 26, 5
1991, 7, 22, 10
1992, 0, 30, 1
1993, 5, 22, 8
1994, 4, 30, 5
1995, 2, 27, 7
1996, 2, 32, 5
1997, 2, 28, 3
1998, 3, 39, 6
1999, 5, 27, 8
2000, 4, 31, 7
2001, 4, 30, 4
2002, 3, 24, 7
2003, 7, 32, 9
2004, 0, 30, 3
2005, 1, 34, 5
2006, 3, 35, 13
2007, 0, 50, 4
2008, 2, 26, 9
2009, 2, 34, 4
2010, 2, 30, 5
2011, 6, 36, 7
2012, 6, 30, 12
2013, 3, 37, 6
2014, 7, 34, 12
2015, 5, 33, 8
2016, 2, 33, 10
2017, 0, 40, 8
2018, 4, 32, 9
